age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
26;management;single;tertiary;no;1177;no;no;cellular;19;oct;116;1;-1;0;unknown;no
30;technician;single;tertiary;no;-970;no;yes;cellular;21;aug;194;2;-1;0;unknown;no
31;admin.;married;secondary;no;314;yes;no;cellular;17;apr;279;1;-1;0;unknown;no
48;entrepreneur;married;tertiary;no;810;no;no;unknown;6;jun;383;1;-1;0;unknown;no
24;blue-collar;married;secondary;no;-254;yes;yes;unknown;27;may;290;2;-1;0;unknown;no
42;admin.;married;secondary;no;529;yes;yes;cellular;19;nov;193;3;-1;0;unknown;no
25;admin.;single;tertiary;no;760;yes;no;cellular;27;may;223;3;89;2;failure;yes
26;management;married;tertiary;no;265;no;no;cellular;30;jan;650;2;-1;0;unknown;no
34;technician;single;tertiary;no;632;no;no;cellular;22;aug;215;10;-1;0;unknown;no
46;blue-collar;married;primary;no;2904;no;no;cellular;20;apr;277;2;-1;0;unknown;no
38;entrepreneur;married;secondary;no;157;no;yes;cellular;15;may;57;11;366;1;other;no
36;blue-collar;married;secondary;no;-206;yes;no;unknown;8;may;177;2;-1;0;unknown;no
75;retired;divorced;secondary;no;1341;no;no;cellular;18;dec;415;7;-1;0;unknown;yes
37;technician;married;secondary;no;1633;yes;no;unknown;19;may;229;3;-1;0;unknown;no
51;self-employed;married;secondary;yes;34;no;yes;cellular;7;jul;200;1;-1;0;unknown;no
52;admin.;married;secondary;no;199;no;no;cellular;28;jan;978;2;189;1;other;no
51;services;divorced;secondary;no;518;yes;no;telephone;17;nov;76;1;-1;0;unknown;no
46;housemaid;single;tertiary;no;3232;no;no;telephone;15;jun;94;2;-1;0;unknown;no
46;management;divorced;tertiary;no;624;no;no;cellular;17;sep;336;2;183;2;success;yes
44;management;married;secondary;no;2984;yes;no;unknown;15;may;770;2;-1;0;unknown;no
49;management;single;primary;no;548;no;no;telephone;31;jul;115;6;-1;0;unknown;no
52;retired;divorced;primary;no;353;no;no;cellular;31;jul;395;4;-1;0;unknown;no
60;retired;married;secondary;no;89;no;no;cellular;30;apr;156;2;-1;0;unknown;no
45;services;single;secondary;no;1757;yes;no;cellular;20;apr;1010;3;326;1;other;no
34;technician;married;tertiary;no;5060;yes;no;cellular;21;aug;12;21;-1;0;unknown;no
46;technician;married;secondary;no;1322;yes;yes;cellular;19;nov;514;1;-1;0;unknown;no
43;technician;single;secondary;no;34;no;no;telephone;30;jul;29;1;-1;0;unknown;no
31;technician;married;secondary;no;0;no;yes;cellular;19;aug;144;4;-1;0;unknown;no
26;services;single;secondary;no;1700;yes;no;cellular;7;may;13;5;-1;0;unknown;no
60;retired;divorced;secondary;no;598;no;yes;cellular;8;jul;96;1;-1;0;unknown;no
43;management;married;tertiary;no;690;yes;no;cellular;6;aug;171;3;-1;0;unknown;no
71;retired;married;primary;no;4657;no;no;cellular;16;feb;93;5;-1;0;unknown;yes
42;blue-collar;married;primary;no;792;yes;yes;cellular;19;nov;611;2;175;12;other;no
56;blue-collar;married;secondary;no;2190;no;yes;cellular;30;jan;90;2;232;1;failure;no
50;technician;married;secondary;no;2497;yes;no;cellular;21;nov;35;1;176;1;failure;no
52;management;married;tertiary;no;6922;no;no;cellular;20;nov;371;1;-1;0;unknown;no
60;retired;divorced;unknown;no;-49;yes;no;cellular;29;jan;188;1;261;2;failure;no
38;technician;single;secondary;no;4366;yes;no;cellular;29;jul;188;2;-1;0;unknown;no
35;services;married;secondary;no;0;yes;no;cellular;18;may;146;2;-1;0;unknown;no
53;technician;married;secondary;no;230;no;yes;cellular;13;aug;112;2;-1;0;unknown;no
35;management;married;tertiary;yes;32;yes;no;cellular;21;nov;180;1;-1;0;unknown;no
34;technician;married;tertiary;no;197;no;no;cellular;20;aug;78;3;-1;0;unknown;yes
30;unemployed;single;secondary;yes;-770;yes;no;unknown;28;may;87;1;-1;0;unknown;no
32;blue-collar;married;secondary;yes;-53;yes;no;cellular;16;apr;648;1;272;1;other;yes
51;blue-collar;married;primary;no;0;yes;no;cellular;10;jul;324;1;-1;0;unknown;no
32;management;single;secondary;no;249;yes;no;unknown;2;jun;258;1;-1;0;unknown;no
57;housemaid;married;primary;no;501;yes;yes;cellular;7;aug;59;2;-1;0;unknown;no
52;technician;divorced;secondary;no;204;no;no;cellular;7;aug;134;2;-1;0;unknown;no
32;unemployed;married;secondary;no;2400;yes;yes;cellular;5;feb;450;3;-1;0;unknown;no
45;services;single;primary;no;1893;yes;no;unknown;3;jun;1259;6;-1;0;unknown;yes
31;admin.;married;primary;no;355;yes;yes;unknown;4;jun;61;6;-1;0;unknown;no
53;technician;married;secondary;no;719;yes;no;unknown;14;may;230;1;-1;0;unknown;no
58;retired;married;secondary;no;413;no;no;cellular;27;aug;104;5;-1;0;unknown;no
47;services;married;secondary;no;3333;yes;yes;cellular;29;jul;114;2;-1;0;unknown;no
34;management;married;tertiary;no;436;no;yes;cellular;28;jul;118;4;-1;0;unknown;no
39;management;married;tertiary;no;-606;yes;no;unknown;26;may;142;1;-1;0;unknown;no
34;management;married;tertiary;no;1310;no;no;telephone;30;jan;521;3;158;7;other;no
25;services;married;secondary;no;72;yes;no;cellular;23;jul;305;2;-1;0;unknown;no
32;management;married;tertiary;no;62;yes;no;cellular;14;may;166;1;-1;0;unknown;no
29;technician;single;tertiary;no;2893;yes;no;unknown;3;jun;250;1;-1;0;unknown;no
44;technician;married;secondary;no;10888;yes;no;cellular;5;aug;163;1;-1;0;unknown;no
30;admin.;married;secondary;no;2678;yes;no;cellular;18;may;23;5;-1;0;unknown;no
31;unemployed;single;primary;no;406;no;no;cellular;4;feb;736;1;-1;0;unknown;yes
54;management;married;tertiary;no;55;yes;no;cellular;2;jun;112;2;-1;0;unknown;no
30;student;single;secondary;no;0;yes;no;cellular;19;nov;661;1;-1;0;unknown;no
32;blue-collar;married;secondary;no;3514;yes;no;unknown;20;may;226;2;-1;0;unknown;no
39;management;married;tertiary;no;763;yes;no;cellular;11;may;877;7;300;2;other;yes
42;blue-collar;married;primary;no;505;yes;no;unknown;14;may;521;2;-1;0;unknown;no
59;retired;married;secondary;no;163;no;no;cellular;24;jul;464;1;-1;0;unknown;no
58;retired;married;unknown;no;937;no;no;cellular;5;aug;155;1;-1;0;unknown;no
40;technician;married;tertiary;no;0;no;no;cellular;19;aug;44;1;-1;0;unknown;no
30;management;married;tertiary;no;42;no;no;cellular;25;aug;115;6;-1;0;unknown;no
40;technician;married;secondary;no;1259;no;no;unknown;20;may;234;5;-1;0;unknown;no
37;management;divorced;tertiary;no;896;no;yes;cellular;14;aug;343;2;-1;0;unknown;no
43;blue-collar;married;primary;no;7727;yes;no;unknown;15;may;302;8;-1;0;unknown;no
50;technician;married;secondary;no;-568;yes;yes;unknown;28;may;860;2;-1;0;unknown;no
37;management;married;tertiary;no;547;yes;yes;unknown;21;may;143;1;-1;0;unknown;no
35;blue-collar;single;secondary;no;376;yes;yes;unknown;6;may;207;3;-1;0;unknown;no
32;unemployed;single;tertiary;no;336;yes;no;unknown;8;may;139;1;-1;0;unknown;no
58;retired;married;secondary;no;14412;no;no;cellular;18;nov;297;1;-1;0;unknown;no
28;management;married;tertiary;no;3694;no;yes;cellular;8;jul;70;2;-1;0;unknown;no
37;management;single;tertiary;no;509;yes;no;cellular;6;may;133;1;-1;0;unknown;no
36;management;married;tertiary;no;222;yes;no;cellular;6;may;317;1;169;2;failure;no
37;admin.;married;secondary;no;1193;no;no;cellular;12;may;396;2;-1;0;unknown;no
60;retired;married;primary;no;55;no;no;cellular;4;jun;207;1;-1;0;unknown;no
37;services;single;secondary;no;1175;yes;no;cellular;15;may;102;1;333;2;failure;no
78;retired;married;tertiary;no;226;no;no;telephone;6;nov;136;1;-1;0;unknown;no
29;services;married;secondary;no;3748;no;no;cellular;28;may;322;3;-1;0;unknown;no
62;retired;married;secondary;no;816;no;no;cellular;1;sep;28;2;-1;0;unknown;no
52;blue-collar;divorced;primary;no;1758;yes;no;unknown;15;may;41;1;-1;0;unknown;no
50;blue-collar;married;primary;no;-1;no;no;cellular;19;aug;195;2;-1;0;unknown;no
47;management;divorced;tertiary;no;447;no;yes;unknown;7;may;126;1;-1;0;unknown;no
33;management;single;tertiary;no;-67;yes;no;unknown;5;may;364;1;-1;0;unknown;no
58;blue-collar;married;primary;no;309;no;no;cellular;19;aug;156;2;-1;0;unknown;no
60;management;married;tertiary;no;759;no;no;cellular;14;aug;136;2;-1;0;unknown;no
58;retired;married;secondary;no;425;yes;yes;cellular;17;nov;100;1;-1;0;unknown;no
53;services;married;secondary;no;-2;yes;yes;cellular;16;apr;144;2;-1;0;unknown;no
40;services;married;secondary;no;0;no;no;unknown;12;jun;543;2;-1;0;unknown;no
31;technician;single;tertiary;no;23;no;no;cellular;25;aug;121;3;-1;0;unknown;no
30;management;married;tertiary;no;151;no;no;cellular;19;aug;82;4;-1;0;unknown;no
